size,step_s,final_step,step_fraction,transferred_lr,transferred_beta,transferred_rank_of_9,norm_regret,random_norm_regret,pct_compute_saved
0.6b,200,2031,0.09847365829640571,4e-06,0.04,5,0.3267634038616988,0.46516016581323094,80.13563634849692
0.6b,400,2031,0.19694731659281142,4e-06,0.01,2,0.006970001953710358,0.46516016581323094,71.38247979306603
0.6b,600,2031,0.29542097488921715,4e-06,0.02,4,0.2460244226450927,0.46516016581323094,62.6290352827519
0.6b,800,2031,0.39389463318562284,4e-06,0.02,4,0.2460244226450927,0.46516016581323094,53.87597471228208
0.6b,1000,2031,0.49236829148202854,4e-06,0.04,5,0.3267634038616988,0.46516016581323094,45.1227221718901
0.6b,1200,2031,0.5908419497784343,4e-06,0.02,4,0.2460244226450927,0.46516016581323094,36.36956561645922
0.6b,1400,2031,0.6893156080748399,2e-06,0.01,3,0.24132004107077729,0.46516016581323094,27.616409061028325
0.6b,1600,2031,0.7877892663712457,4e-06,0.02,4,0.2460244226450927,0.46516016581323094,18.86315652063635
0.6b,1800,2031,0.8862629246676514,4e-06,0.01,2,0.006970001953710358,0.46516016581323094,10.109807995283271
0.6b,2000,2031,0.9847365829640571,4e-06,0.02,4,0.2460244226450927,0.46516016581323094,1.3567474248134759
1.7b,200,2031,0.09847365829640571,4e-06,0.01,2,0.04643771234514839,0.48056665174804086,80.13571967846515
1.7b,400,2031,0.19694731659281142,4e-06,0.01,2,0.04643771234514839,0.48056665174804086,71.38255046804143
1.7b,600,2031,0.29542097488921715,4e-06,0.01,2,0.04643771234514839,0.48056665174804086,62.62930230492517
1.7b,800,2031,0.39389463318562284,4e-06,0.01,2,0.04643771234514839,0.48056665174804086,53.876133094501434
1.7b,1000,2031,0.49236829148202854,4e-06,0.01,2,0.04643771234514839,0.48056665174804086,45.12288493138518
1.7b,1200,2031,0.5908419497784343,4e-06,0.02,1,0.0,0.48056665174804086,36.36971572096145
1.7b,1400,2031,0.6893156080748399,4e-06,0.02,1,0.0,0.48056665174804086,27.61646755784518
1.7b,1600,2031,0.7877892663712457,4e-06,0.02,1,0.0,0.48056665174804086,18.8632193947289
1.7b,1800,2031,0.8862629246676514,4e-06,0.01,2,0.04643771234514839,0.48056665174804086,10.109971231612668
1.7b,2000,2031,0.9847365829640571,4e-06,0.01,2,0.04643771234514839,0.48056665174804086,1.356880973881469
4b,200,2031,0.09847365829640571,1e-06,0.01,1,0.0,0.5682640347869959,80.13576625471619
4b,400,2031,0.19694731659281142,1e-06,0.01,1,0.0,0.5682640347869959,71.38238576470758
4b,600,2031,0.29542097488921715,1e-06,0.01,1,0.0,0.5682640347869959,62.62926313053487
4b,800,2031,0.39389463318562284,1e-06,0.01,1,0.0,0.5682640347869959,53.87598578286064
4b,1000,2031,0.49236829148202854,1e-06,0.01,1,0.0,0.5682640347869959,45.1229147198551
4b,1200,2031,0.5908419497784343,1e-06,0.01,1,0.0,0.5682640347869959,36.36948265867933
4b,1400,2031,0.6893156080748399,1e-06,0.01,1,0.0,0.5682640347869959,27.616360024506616
4b,1600,2031,0.7877892663712457,1e-06,0.01,1,0.0,0.5682640347869959,18.8632889615011
4b,1800,2031,0.8862629246676514,1e-06,0.01,1,0.0,0.5682640347869959,10.109805329158139
4b,2000,2031,0.9847365829640571,1e-06,0.01,1,0.0,0.5682640347869959,1.356682694985445
8b,200,2031,0.09847365829640571,2e-06,0.01,2,0.16930568160541948,0.49943740790328905,80.13566871467489
8b,400,2031,0.19694731659281142,1e-06,0.01,1,0.0,0.49943740790328905,71.3824485404609
8b,600,2031,0.29542097488921715,1e-06,0.01,1,0.0,0.49943740790328905,62.62922836624689
8b,800,2031,0.39389463318562284,1e-06,0.01,1,0.0,0.49943740790328905,53.876032934649366
8b,1000,2031,0.49236829148202854,1e-06,0.02,3,0.32883766837495243,0.49943740790328905,45.12283750305185
8b,1200,2031,0.5908419497784343,1e-06,0.01,1,0.0,0.49943740790328905,36.36959258622136
8b,1400,2031,0.6893156080748399,1e-06,0.01,1,0.0,0.49943740790328905,27.616372412007372
8b,1600,2031,0.7877892663712457,1e-06,0.01,1,0.0,0.49943740790328905,18.863176980409836
8b,1800,2031,0.8862629246676514,1e-06,0.01,1,0.0,0.49943740790328905,10.109932063579375
8b,2000,2031,0.9847365829640571,1e-06,0.01,1,0.0,0.49943740790328905,1.3567366319818253
14b,200,2031,0.09847365829640571,2e-06,0.01,7,0.6955794099804449,0.5511545958648386,80.13567966601929
14b,400,2031,0.19694731659281142,1e-06,0.01,1,0.0,0.5511545958648386,71.38247044314969
14b,600,2031,0.29542097488921715,1e-06,0.01,1,0.0,0.5511545958648386,62.62926122028007
14b,800,2031,0.39389463318562284,1e-06,0.01,1,0.0,0.5511545958648386,53.87600887567496
14b,1000,2031,0.49236829148202854,1e-06,0.01,1,0.0,0.5511545958648386,45.12281402671719
14b,1200,2031,0.5908419497784343,1e-06,0.01,1,0.0,0.5511545958648386,36.36960480384759
14b,1400,2031,0.6893156080748399,1e-06,0.01,1,0.0,0.5511545958648386,27.616395580977983
14b,1600,2031,0.7877892663712457,1e-06,0.01,1,0.0,0.5511545958648386,18.863171984196548
14b,1800,2031,0.8862629246676514,1e-06,0.01,1,0.0,0.5511545958648386,10.10996276132693
14b,2000,2031,0.9847365829640571,1e-06,0.01,1,0.0,0.5511545958648386,1.356739164545473
