source,target,source_params_b,target_params_b,log2_size_ratio,transferred_lr,transferred_beta,transferred_rank_of_9,norm_regret,random_norm_regret,native_cost_sec,transfer_cost_sec,pct_compute_saved
0.6b,0.6b,0.6,0.6,0.0,4e-06,0.01,1,0.0,0.4815449656182036,92607.1,102896.77777777778,-11.111111111111116
0.6b,1.7b,0.6,1.7,1.5025003405291832,4e-06,0.01,2,0.01944856822622806,0.47772084028590484,112585.0,105116.54444444444,6.6336150957548075
0.6b,4b,0.6,4.0,2.736965594166206,4e-06,0.01,8,0.9239188542121302,0.5690158658326641,172361.6,111758.38888888889,35.160506232891265
0.6b,8b,0.6,8.0,3.736965594166206,4e-06,0.01,2,0.23316302527174515,0.5433326910881701,359254.19999999995,132524.23333333334,63.11129185592448
0.6b,14b,0.6,14.0,4.54432051622381,4e-06,0.01,7,0.8425389872241447,0.5451347476667308,618404.3,161318.6888888889,73.91371811468825
1.7b,0.6b,1.7,0.6,-1.5025003405291832,4e-06,0.02,2,0.16421283541689138,0.4815449656182036,92607.1,122874.67777777778,-32.68386309233069
1.7b,1.7b,1.7,1.7,0.0,4e-06,0.02,1,0.0,0.47772084028590484,112585.0,125094.44444444444,-11.111111111111116
1.7b,4b,1.7,4.0,1.234465253637023,4e-06,0.02,9,1.0,0.5690158658326641,172361.6,131736.2888888889,23.5698154989923
1.7b,8b,1.7,8.0,2.234465253637023,4e-06,0.02,9,1.0,0.5433326910881701,359254.19999999995,152502.13333333333,57.55035478128485
1.7b,14b,1.7,14.0,3.0418201756946273,4e-06,0.02,3,0.3452663476156353,0.5451347476667308,618404.3,181296.5888888889,70.68316166480588
4b,0.6b,4.0,0.6,-2.736965594166206,2e-06,0.01,4,0.27774605605450897,0.4815449656182036,92607.1,182651.27777777778,-97.2324776154072
4b,1.7b,4.0,1.7,-1.234465253637023,2e-06,0.01,4,0.3323961325647486,0.47772084028590484,112585.0,184871.04444444444,-64.20575071674241
4b,4b,4.0,4.0,0.0,2e-06,0.01,1,0.0,0.5690158658326641,172361.6,191512.8888888889,-11.111111111111116
4b,8b,4.0,8.0,1.0,2e-06,0.01,3,0.24449353950141697,0.5433326910881701,359254.19999999995,212278.73333333334,40.91127303916464
4b,14b,4.0,14.0,1.8073549220576042,2e-06,0.01,5,0.5053759031610763,0.5451347476667308,618404.3,241073.1888888889,61.016896407594686
8b,0.6b,8.0,0.6,-3.736965594166206,1e-06,0.01,8,0.8909082143871535,0.4815449656182036,92607.1,369543.8777777777,-299.0448656504498
8b,1.7b,8.0,1.7,-2.234465253637023,1e-06,0.01,9,1.0,0.47772084028590484,112585.0,371763.6444444444,-230.20708304342884
8b,4b,8.0,4.0,-1.0,1e-06,0.01,2,0.06248964073622047,0.5690158658326641,172361.6,378405.48888888885,-119.54164320178555
8b,8b,8.0,8.0,0.0,1e-06,0.01,1,0.0,0.5433326910881701,359254.19999999995,399171.33333333326,-11.111111111111093
8b,14b,8.0,14.0,0.8073549220576041,1e-06,0.01,2,0.21402196040799448,0.5451347476667308,618404.3,427965.78888888884,30.795146655854623
14b,0.6b,14.0,0.6,-4.54432051622381,1e-06,0.02,9,1.0,0.4815449656182036,92607.1,628693.9777777778,-578.8831285914123
14b,1.7b,14.0,1.7,-3.0418201756946273,1e-06,0.02,7,0.946776577006426,0.47772084028590484,112585.0,630913.7444444445,-460.3888124034681
14b,4b,14.0,4.0,-1.8073549220576042,1e-06,0.02,3,0.2110508852382533,0.5690158658326641,172361.6,637555.588888889,-269.89421593260266
14b,8b,14.0,8.0,-0.8073549220576042,1e-06,0.02,5,0.5734367877853008,0.5433326910881701,359254.19999999995,658321.4333333333,-83.24669087607978
14b,14b,14.0,14.0,0.0,1e-06,0.02,1,0.0,0.5451347476667308,618404.3,687115.888888889,-11.111111111111116
